City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
156,Mizan Teferi,ET,60.89,light rain,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
233,Butembo,CD,60.26,overcast clouds,0.15,29.2833,Hotel Butembo
245,Bonavista,CA,60.08,scattered clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
347,Zonguldak,TR,60.48,clear sky,41.25,31.8333,Süleyman Tez Ev
378,Haines Junction,CA,60.73,broken clouds,60.7522,-137.5108,Parkside Inn
384,Port Hardy,CA,60.98,fog,50.6996,-127.4199,Airport Inn
417,Hervey Bay,AU,60.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
449,Mporokoso,ZM,60.51,clear sky,-9.3727,30.125,Government Guest House
462,College,US,60.75,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
475,Pori,FI,60.87,clear sky,61.4833,21.7833,"Original Sokos Hotel Vaakuna, Pori"
